Aurora,Colorado,359407,39.7082,104.8235
Honolulu,Hawaii,352769,21.3259,157.8453
Anaheim,California,350742,33.8555,117.7601
Santa Ana,California,335400,33.7365,117.8826
Corpus Christi,Texas,324074,27.7543,97.1734
Riverside,California,322424,33.9381,117.3932
St. Louis,Missouri,315685,38.6357,90.2446
Lexington,Kentucky,314488,38.0402,84.4584
Stockton,California,305658,37.9763,121.3133
Pittsburgh,Pennsylvania,304391,40.4398,79.9766
Saint Paul,Minnesota,300851,44.9489,93.1039
Anchorage,Alaska,298695,61.2176,149.8953
Cincinnati,Ohio,298550,39.1399,84.5064
Henderson,Nevada,285667,36.0122,115.0375
Greensboro,North Carolina,285342,36.0965,79.8271
Plano,Texas,283558,33.0508,96.7479
Newark,New Jersey,281944,40.7242,74.1726
Toledo,Ohio,279789,41.6641,83.5819
Lincoln,Nebraska,277348,40.809,96.6804
Orlando,Florida,270934,28.4159,81.2988
Chula Vista,California,265757,32.6277,117.0152
Jersey City,New Jersey,264290,40.7114,74.0648
Chandler,Arizona,260828,33.2829,111.8549
Fort Wayne,Indiana,260326,41.0882,85.1439
Buffalo,New York,258071,42.8925,78.8597
Durham,North Carolina,257636,35.981,78.9056
St. Petersburg,Florida,257083,27.762,82.6441
Irvine,California,256927,33.6784,117.7713
Laredo,Texas,255473,27.5477,99.4869
Lubbock,Texas,249042,33.5665,101.8867
Madison,Wisconsin,248951,43.0878,89.4301
Gilbert,Arizona,247542,33.3102,111.7422
Norfolk,Virginia,246393,36.923,76.2446
Reno,Nevada,241445,39.4745,119.7765
Winston-Salem,North Carolina,241218,36.1033,80.2606
Glendale,Arizona,240126,33.5331,112.1899
Hialeah,Florida,237069,25.8699,80.3029
Garland,Texas,236897,32.9098,96.6304
Scottsdale,Arizona,236839,33.6687,111.8237
Irving,Texas,236607,32.8577,96.97
Chesapeake,Virginia,235429,36.6794,76.3018
North Las Vegas,Nevada,234807,36.283,115.0893
Fremont,California,232206,37.4944,121.9411
Baton Rouge,Louisiana,228590,30.4485,91.1259
Richmond,Virginia,220289,37.5314,77.476
Boise,Idaho,218281,43.5985,116.2311
San Bernardino,California,216108,34.1393,117.2953
Spokane,Washington,213272,47.6736,117.4166
Birmingham,Alabama,212461,33.5274,86.799
Modesto,California,211266,37.6609,120.9891
Des Moines,Iowa,210330,41.5739,93.6167
Rochester,New York,209802,43.1699,77.6169
Tacoma,Washington,207948,47.2522,122.4598
Fontana,California,207460,34.1088,117.4627
Oxnard,California,207254,34.2023,119.2046
Moreno Valley,California,204198,33.9233,117.2057
Fayetteville,North Carolina,201963,35.0851,78.9803
Huntington Beach,California,201899,33.6906,118.0093
Yonkers,New York,201116,40.9459,73.8674
Glendale,California,201020,34.1814,118.2458
Aurora,Illinois,200661,41.7635,88.2901
Montgomery,Alabama,200602,32.3463,86.2686
Columbus,Georgia,200579,32.5102,84.8749
Amarillo,Texas,198645,35.1978,101.8287
Little Rock,Arkansas,197992,34.7254,92.3586
Akron,Ohio,197542,41.0805,81.5214
Shreveport,Louisiana,197204,32.467,93.7927
Augusta,Georgia,197182,33.3655,82.0734
Grand Rapids,Michigan,195097,42.9612,85.6556
Mobile,Alabama,194288,30.6684,88.1002
Salt Lake City,Utah,192672,40.7785,111.9314
Huntsville,Alabama,190582,34.7843,86.539
Tallahassee,Florida,189907,30.4551,84.2534
Grand Prairie,Texas,187809,32.6842,97.021
Overland Park,Kansas,186515,38.889,94.6906
Knoxville,Tennessee,185291,35.9709,83.9465
Worcester,Massachusetts,184815,42.2695,71.8078
Brownsville,Texas,183887,26.0183,97.4538
Newport News,Virginia,182385,37.076,76.5217
Santa Clarita,California,182371,34.4049,118.5047
Port St. Lucie,Florida,179413,27.281,80.3838
Providence,Rhode Island,179207,41.8231,71.4188
Fort Lauderdale,Florida,178590,26.1413,80.1439
Chattanooga,Tennessee,176588,35.0665,85.2471
Tempe,Arizona,175826,33.3884,111.9318
Oceanside,California,175691,33.2246,117.3062
Garden Grove,California,175393,33.7788,117.9605
Rancho Cucamonga,California,175236,34.1233,117.5642
Cape Coral,Florida,175229,26.6431,81.9973
Santa Rosa,California,174972,38.4468,122.7061
Vancouver,Washington,172860,45.6372,122.5965
Sioux Falls,South Dakota,171544,43.5383,96.732
Peoria,Arizona,171237,33.7877,112.3111
Ontario,California,171214,34.0395,117.6088
Jackson,Mississippi,170674,32.3158,90.2128
Elk Grove,California,166913,38.4144,121.3849
Springfield,Missouri,166810,37.1942,93.2913
Pembroke Pines,Florida,166611,26.0212,80.3404
Salem,Oregon,164549,44.9237,123.0231
Corona,California,164226,33.8624,117.5639
Eugene,Oregon,163460,44.0567,123.1162
McKinney,Texas,162898,33.2012,96.668
Fort Collins,Colorado,161175,40.5482,105.0648
Lancaster,California,161103,34.6936,118.1753
Cary,North Carolina,159769,35.7821,78.8141
Palmdale,California,158351,34.5913,118.109
Hayward,California,158289,37.6281,122.1063
Salinas,California,157380,36.6902,121.6337
Frisco,Texas,154407,33.151,96.8193
Springfield,Massachusetts,154341,42.1155,72.54
Pasadena,Texas,153784,29.6583,95.1505
Macon,Georgia,153515,32.505,83.396
Alexandria,Virginia,153511,38.8183,77.082
Pomona,California,153266,34.0586,117.7613
Lakewood,Colorado,152597,39.6989,105.1176
Sunnyvale,California,151754,37.3858,122.0263
Escondido,California,151451,33.1336,117.0732
Kansas City,Kansas,151306,39.1225,94.7418
Hollywood,Florida,149728,26.0311,80.1646
Clarksville,Tennessee,149176,36.5664,87.3452
Torrance,California,148475,33.835,118.3414
Rockford,Illinois,148278,42.2634,89.0628
Joliet,Illinois,147861,41.5181,88.1584
Paterson,New Jersey,147754,40.9147,74.1628
Bridgeport,Connecticut,147629,41.1874,73.1957
Naperville,Illinois,147100,41.7492,88.162
Savannah,Georgia,145674,32.0025,81.1536
Mesquite,Texas,144788,32.7639,96.5924
Syracuse,New York,144142,43.041,76.1436
Pasadena,California,142250,34.1606,118.1396
Orange,California,140992,33.8048,117.8249
Fullerton,California,140847,33.8857,117.928
Killeen,Texas,140806,31.0777,97.732
Dayton,Ohio,140599,39.7774,84.1996
McAllen,Texas,140269,26.2185,98.2461
Bellevue,Washington,139820,47.5978,122.1565
Miramar,Florida,137132,25.977,80.3358
Hampton,Virginia,136454,37.048,76.2971
West Valley City,Utah,136208,40.6885,112.0118
Warren,Michigan,135358,42.4929,83.025
Olathe,Kansas,134305,38.8843,94.8188
Columbia,South Carolina,133803,34.0298,80.8966
Thornton,Colorado,133451,39.918,104.9454
Carrollton,Texas,133168,32.9884,96.8998
Midland,Texas,132950,32.0299,102.1097
Charleston,South Carolina,132609,32.8179,79.9589
Waco,Texas,132356,31.5601,97.186
Sterling Heights,Michigan,132052,42.5812,83.0303
Denton,Texas,131044,33.2151,97.1417
Cedar Rapids,Iowa,130405,41.967,91.6778
New Haven,Connecticut,130322,41.3108,72.925
Roseville,California,130269,38.7657,121.3032
Gainesville,Florida,130128,29.6788,82.3459
Visalia,California,130104,36.3272,119.3234
Coral Springs,Florida,129485,26.2708,80.2593
Thousand Oaks,California,129339,34.1933,118.8742
Elizabeth,New Jersey,129007,40.6663,74.1935
Stamford,Connecticut,128874,41.0799,73.546
Concord,California,128667,37.9722,122.0016
Surprise,Arizona,128422,33.6706,112.4527
Lafayette,Louisiana,127657,30.2116,92.0314
Topeka,Kansas,127265,39.0362,95.6948
Kent,Washington,126952,47.3853,122.2169
Simi Valley,California,126788,34.2669,118.7485
Santa Clara,California,126215,37.3646,121.9679
Murfreesboro,Tennessee,126118,35.8522,86.4161
Hartford,Connecticut,124006,41.766,72.6833
Athens,Georgia,122604,33.9496,83.3701
Victorville,California,122225,34.5277,117.3536
Abilene,Texas,121721,32.4545,99.7381
Vallejo,California,121253,38.1079,122.2639
Berkeley,California,120972,37.8667,122.2991
Norman,Oklahoma,120284,35.22,97.44
Allentown,Pennsylvania,120207,40.594,75.4782
Evansville,Indiana,119943,37.9877,87.5347
Columbia,Missouri,119108,38.9479,92.3261
Odessa,Texas,118968,31.8804,102.3434
Fargo,North Dakota,118523,46.8652,96.829
Beaumont,Texas,118129,30.0843,94.1458
Independence,Missouri,117255,39.0853,94.3513
Ann Arbor,Michigan,117070,42.2756,83.7313
El Monte,California,116732,34.0746,118.0291
Springfield,Illinois,116565,39.7639,89.6708
Round Rock,Texas,115997,30.5237,97.6674
Wilmington,North Carolina,115933,34.2092,77.8858
Arvada,Colorado,115368,39.8097,105.1066
Provo,Utah,115264,40.2453,111.6448
Peoria,Illinois,115070,40.7523,89.6171
Lansing,Michigan,115056,42.7098,84.5562
Downey,California,114219,33.9382,118.1309
Carlsbad,California,113453,33.1239,117.2828
Costa Mesa,California,113204,33.6659,117.9123
Miami Gardens,Florida,113187,25.9489,80.2436
Westminster,Colorado,113130,39.8822,105.0644
Clearwater,Florida,113003,27.9795,82.7663
Fairfield,California,112970,38.2568,122.0397
Rochester,Minnesota,112225,44.0154,92.4772
Elgin,Illinois,112111,42.0396,88.3217
Temecula,California,112011,33.5019,117.1246
West Jordan,Utah,111946,40.6023,112.001
Inglewood,California,111666,33.9561,118.3443
Richardson,Texas,110815,32.9723,96.7081
Lowell,Massachusetts,110699,42.6389,71.3221
Gresham,Oregon,110553,45.5023,122.4416
Antioch,California,110542,37.9775,121.7976
Cambridge,Massachusetts,110402,42.376,71.1183
High Point,North Carolina,110268,35.9855,79.9902
Manchester,New Hampshire,110229,42.9847,71.4439
Murrieta,California,109830,33.5719,117.1907
Centennial,Colorado,109741,39.5906,104.8691
Richmond,California,109708,37.953,122.3594
Ventura,California,109708,34.2681,119.255
Pueblo,Colorado,109412,38.2731,104.6124
Pearland,Texas,108821,29.5544,95.2958
Waterbury,Connecticut,108802,41.5585,73.0367
West Covina,California,108484,34.0559,117.9099
North Charleston,South Carolina,108304,32.8853,80.0169
Everett,Washington,108010,48.0033,122.1742
College Station,Texas,107889,30.6013,96.3144
Palm Bay,Florida,107888,27.9856,80.6626
Pompano Beach,Florida,107762,26.2426,80.129
Boulder,Colorado,107349,40.0175,105.2797
Norwalk,California,107140,33.9069,118.0834
West Palm Beach,Florida,106779,26.7483,80.1266
Broken Arrow,Oklahoma,106563,36.0365,95.781
Daly City,California,106562,37.7009,122.465
Sandy Springs,Georgia,105330,33.5615,84.227
Burbank,California,105319,34.189,118.3249
Green Bay,Wisconsin,105207,44.5207,87.9842
Santa Maria,California,105093,34.9332,120.4438
Wichita Falls,Texas,104710,33.9067,98.5259
Lakeland,Florida,104401,28.0411,81.9589
Clovis,California,104180,36.4931,119.4211
Lewisville,Texas,104039,33.0383,97.0061
Tyler,Texas,103700,32.35,95.3
El Cajon,California,103679,32.8017,116.9605
San Mateo,California,103536,37.5542,122.3131
Rialto,California,103132,34.1118,117.3883
Edison,New Jersey,102701,40.504,74.3494
Davenport,Iowa,102582,41.5541,90.604
Hillsboro,Oregon,102347,45.5167,122.9833
Woodbridge,New Jersey,102105,40.5608,74.2926
Las Cruces,New Mexico,101643,32.3197,106.7653
South Bend,Indiana,101516,41.6769,86.269
Vista,California,100890,33.1936,117.2411
Greeley,Colorado,100883,40.4167,104.7167
Davie,Florida,100882,26.0814,80.2803
San Angelo,Texas,100450,31.45,100.45
Jurupa Valley,California,100314,33.0011,117.4706
Renton,Washington,100242,47.4867,122.1953
